,Altitude(km),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
0,150,1.8893905e-09,1.8908895e-09,1.8913891666666667e-09,1.891639e-09,1.8911892999999997e-09,1.8913891666666667e-09,1.8915319285714286e-09,1.891639e-09,1.8913891666666667e-09,1.8914891e-09,1.8915708636363637e-09,1.891639e-09,1.8914660384615384e-09,1.8915319285714286e-09,1.8915890333333332e-09,1.891639e-09,1.8915067352941176e-09,1.891555722222222e-09,1.891599552631579e-09,1.891639e-09,1.8915319285714286e-09,1.8915708636363637e-09,1.8916064130434785e-09,1.891639e-09,1.89154906e-09,1.891581346153846e-09,1.8916112407407406e-09,1.891639e-09,1.8915614655172413e-09,1.8915890333333332e-09,1.8916148225806453e-09,1.891639e-09,1.8915708636363637e-09,1.8915949117647057e-09,1.8916175857142858e-09,1.891639e-09,1.89157822972973e-09,1.891599552631579e-09,1.891619782051282e-09,1.891639e-09,1.8915841585365853e-09,1.8916033095238095e-09,1.891621569767442e-09,1.891639e-09,1.8915890333333332e-09,1.8916064130434785e-09,1.8916230531914893e-09,1.891639e-09,1.891593112244898e-09,1.89160902e-09
1,160,1.1234795e-09,1.1243895e-09,1.1246928333333333e-09,1.1248445e-09,1.1245715e-09,1.1246928333333333e-09,1.1247795e-09,1.1248445e-09,1.1246928333333333e-09,1.1247535000000002e-09,1.1248031363636365e-09,1.1248445e-09,1.1247395e-09,1.1247795e-09,1.1248141666666666e-09,1.1248445e-09,1.124764205882353e-09,1.1247939444444445e-09,1.124820552631579e-09,1.1248445e-09,1.1247795e-09,1.1248031363636365e-09,1.1248247173913044e-09,1.1248445e-09,1.1247899e-09,1.1248095e-09,1.1248276481481482e-09,1.1248445e-09,1.1247974310344828e-09,1.1248141666666666e-09,1.1248298225806453e-09,1.1248445e-09,1.1248031363636365e-09,1.1248177352941177e-09,1.1248315e-09,1.1248445e-09,1.1248076081081081e-09,1.124820552631579e-09,1.1248328333333333e-09,1.1248445e-09,1.1248112073170732e-09,1.1248228333333334e-09,1.1248339186046512e-09,1.1248445e-09,1.1248141666666668e-09,1.1248247173913044e-09,1.124834819148936e-09,1.1248445e-09,1.1248166428571428e-09,1.1248263e-09
2,170,7.082669e-10,7.0885645e-10,7.090529666666667e-10,7.091512250000001e-10,7.0897436e-10,7.090529666666667e-10,7.091091142857143e-10,7.091512250000001e-10,7.090529666666667e-10,7.090922700000001e-10,7.091244272727272e-10,7.09151225e-10,7.090832e-10,7.091091142857143e-10,7.091315733333333e-10,7.091512250000001e-10,7.090992058823529e-10,7.091184722222222e-10,7.091357105263158e-10,7.091512250000001e-10,7.091091142857144e-10,7.091244272727272e-10,7.091384086956521e-10,7.09151225e-10,7.09115852e-10,7.091285500000001e-10,7.091403074074074e-10,7.091512250000001e-10,7.091207310344828e-10,7.091315733333333e-10,7.091417161290322e-10,7.091512250000001e-10,7.091244272727273e-10,7.091338852941177e-10,7.091428028571429e-10,7.091512250000001e-10,7.091273243243243e-10,7.091357105263158e-10,7.091436666666667e-10,7.091512250000001e-10,7.09129656097561e-10,7.091371880952381e-10,7.091443697674418e-10,7.091512250000001e-10,7.091315733333333e-10,7.091384086956521e-10,7.091449531914894e-10,7.09151225e-10,7.091331775510203e-10,7.09139434e-10
3,180,4.658269e-10,4.6622365e-10,4.663559e-10,4.664220250000001e-10,4.663030000000001e-10,4.663559e-10,4.663936857142857e-10,4.664220250000001e-10,4.663559e-10,4.6638235e-10,4.664039909090909e-10,4.664220250000001e-10,4.663762461538461e-10,4.663936857142857e-10,4.664088e-10,4.664220250000001e-10,4.663870176470588e-10,4.663999833333333e-10,4.664115842105264e-10,4.664220250000001e-10,4.663936857142857e-10,4.664039909090909e-10,4.664134e-10,4.664220250000001e-10,4.6639822e-10,4.664067653846153e-10,4.664146777777777e-10,4.664220250000001e-10,4.664015034482759e-10,4.664088e-10,4.664156258064517e-10,4.664220250000001e-10,4.664039909090909e-10,4.664103558823529e-10,4.664163571428571e-10,4.664220250000001e-10,4.664059405405406e-10,4.664115842105264e-10,4.664169384615384e-10,4.664220250000001e-10,4.664075097560975e-10,4.664125785714285e-10,4.66417411627907e-10,4.66422025e-10,4.664088000000001e-10,4.664134e-10,4.664178042553191e-10,4.664220250000001e-10,4.664098795918368e-10,4.6641409e-10
4,190,3.163484e-10,3.16623825e-10,3.1671563333333334e-10,3.167615375e-10,3.1667891000000004e-10,3.1671563333333334e-10,3.1674186428571426e-10,3.167615375e-10,3.1671563333333334e-10,3.16733995e-10,3.167490181818182e-10,3.167615375e-10,3.167297576923077e-10,3.1674186428571426e-10,3.167523566666667e-10,3.167615375e-10,3.1673723529411763e-10,3.1674623611111113e-10,3.167542894736842e-10,3.167615375e-10,3.167418642857143e-10,3.167490181818182e-10,3.1675555e-10,3.167615375e-10,3.16745012e-10,3.1675094423076927e-10,3.1675643703703704e-10,3.167615375e-10,3.167472913793104e-10,3.167523566666667e-10,3.1675709516129033e-10,3.167615375e-10,3.167490181818182e-10,3.167534367647059e-10,3.167576028571429e-10,3.1676153749999997e-10,3.167503716216216e-10,3.167542894736842e-10,3.167580064102564e-10,3.167615375e-10,3.1675146097560975e-10,3.1675497976190477e-10,3.16758334883721e-10,3.1676153749999997e-10,3.1675235666666664e-10,3.1675555e-10,3.167586074468085e-10,3.167615375e-10,3.16753106122449e-10,3.16756029e-10
5,200,2.2029915e-10,2.2049530000000002e-10,2.2056068333333334e-10,2.20593375e-10,2.2053453e-10,2.2056068333333334e-10,2.2057936428571426e-10,2.20593375e-10,2.2056068333333334e-10,2.2057376e-10,2.205844590909091e-10,2.2059337500000003e-10,2.2057074230769231e-10,2.2057936428571426e-10,2.2058683666666665e-10,2.20593375e-10,2.2057606764705882e-10,2.2058247777777777e-10,2.2058821315789475e-10,2.20593375e-10,2.2057936428571428e-10,2.205844590909091e-10,2.2058911086956522e-10,2.2059337500000003e-10,2.2058160599999999e-10,2.205858307692308e-10,2.2058974259259258e-10,2.2059337499999997e-10,2.2058322931034483e-10,2.2058683666666665e-10,2.205902112903226e-10,2.20593375e-10,2.205844590909091e-10,2.2058760588235293e-10,2.2059057285714288e-10,2.20593375e-10,2.2058542297297297e-10,2.2058821315789475e-10,2.2059086025641024e-10,2.20593375e-10,2.205861987804878e-10,2.2058870476190478e-10,2.205910941860465e-10,2.20593375e-10,2.2058683666666667e-10,2.2058911086956522e-10,2.2059128829787232e-10,2.2059337500000003e-10,2.2058737040816326e-10,2.20589452e-10
6,210,1.5655945e-10,1.567018e-10,1.5674925e-10,1.5677297499999998e-10,1.5673027e-10,1.5674925e-10,1.5676280714285715e-10,1.5677297499999998e-10,1.5674925e-10,1.5675873999999998e-10,1.5676650454545454e-10,1.56772975e-10,1.5675655e-10,1.5676280714285715e-10,1.5676823e-10,1.5677297499999998e-10,1.5676041470588236e-10,1.5676506666666665e-10,1.5676922894736842e-10,1.56772975e-10,1.5676280714285715e-10,1.5676650454545454e-10,1.567698804347826e-10,1.56772975e-10,1.56764434e-10,1.567675e-10,1.5677033888888887e-10,1.56772975e-10,1.5676561206896553e-10,1.5676823e-10,1.5677067903225806e-10,1.5677297499999998e-10,1.5676650454545452e-10,1.567687882352941e-10,1.5677094142857144e-10,1.56772975e-10,1.5676720405405406e-10,1.5676922894736842e-10,1.5677115e-10,1.56772975e-10,1.5676776707317074e-10,1.5676958571428571e-10,1.5677131976744185e-10,1.5677297499999998e-10,1.5676823e-10,1.567698804347826e-10,1.5677146063829788e-10,1.56772975e-10,1.5676861734693877e-10,1.5677012800000001e-10
7,220,1.13155e-10,1.13259975e-10,1.1329496666666666e-10,1.133124625e-10,1.1328097e-10,1.1329496666666666e-10,1.1330496428571429e-10,1.133124625e-10,1.1329496666666667e-10,1.13301965e-10,1.1330769090909091e-10,1.1331246249999999e-10,1.1330035e-10,1.1330496428571429e-10,1.1330896333333334e-10,1.133124625e-10,1.133032e-10,1.1330663055555555e-10,1.1330969999999999e-10,1.133124625e-10,1.1330496428571429e-10,1.1330769090909091e-10,1.133101804347826e-10,1.1331246249999999e-10,1.13306164e-10,1.13308425e-10,1.1331051851851853e-10,1.133124625e-10,1.1330703275862069e-10,1.1330896333333334e-10,1.133107693548387e-10,1.133124625e-10,1.1330769090909091e-10,1.13309375e-10,1.1331096285714286e-10,1.1331246249999999e-10,1.1330820675675675e-10,1.1330969999999999e-10,1.1331111666666667e-10,1.133124625e-10,1.1330862195121952e-10,1.1330996309523809e-10,1.1331124186046513e-10,1.1331246249999999e-10,1.1330896333333332e-10,1.133101804347826e-10,1.1331134574468086e-10,1.1331246249999999e-10,1.1330924897959183e-10,1.13310363e-10
8,230,8.2967195e-11,8.3045825e-11,8.3072035e-11,8.308514e-11,8.3061551e-11,8.3072035e-11,8.307952357142857e-11,8.308514e-11,8.307203500000001e-11,8.3077277e-11,8.308156590909091e-11,8.308514e-11,8.307606730769231e-11,8.307952357142857e-11,8.308251900000001e-11,8.308514e-11,8.307820205882354e-11,8.308077166666667e-11,8.308307078947368e-11,8.308513999999999e-11,8.307952357142857e-11,8.308156590909091e-11,8.308343065217391e-11,8.308514e-11,8.30804222e-11,8.308211576923077e-11,8.308368388888889e-11,8.308513999999999e-11,8.308107293103448e-11,8.308251900000001e-11,8.308387177419355e-11,8.308514e-11,8.308156590909091e-11,8.308282735294117e-11,8.308401671428571e-11,8.308514e-11,8.30819522972973e-11,8.308307078947368e-11,8.308413192307693e-11,8.308513999999999e-11,8.308226329268293e-11,8.308326785714286e-11,8.308422569767441e-11,8.308514e-11,8.308251900000001e-11,8.308343065217391e-11,8.30843035106383e-11,8.308514e-11,8.308273295918367e-11,8.30835674e-11
9,240,6.1598005e-11,6.1657565e-11,6.167741833333334e-11,6.168734500000001e-11,6.166947700000001e-11,6.167741833333334e-11,6.168309071428572e-11,6.168734500000001e-11,6.167741833333332e-11,6.168138900000001e-11,6.168463772727273e-11,6.168734500000001e-11,6.168047269230769e-11,6.168309071428572e-11,6.168535966666667e-11,6.168734500000001e-11,6.168208970588235e-11,6.168403611111112e-11,6.168577763157895e-11,6.1687345e-11,6.168309071428572e-11,6.168463772727273e-11,6.16860502173913e-11,6.168734500000001e-11,6.16837714e-11,6.168505423076922e-11,6.168624203703704e-11,6.1687345e-11,6.168426431034483e-11,6.168535966666667e-11,6.168638435483871e-11,6.168734500000001e-11,6.168463772727273e-11,6.168559323529411e-11,6.168649414285714e-11,6.1687345e-11,6.168493040540541e-11,6.168577763157895e-11,6.168658141025641e-11,6.1687345e-11,6.168516597560975e-11,6.16859269047619e-11,6.168665244186046e-11,6.168734500000001e-11,6.168535966666667e-11,6.16860502173913e-11,6.168671138297872e-11,6.168734500000001e-11,6.168552173469387e-11,6.16861538e-11
